id,inhabitants,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
01011101,2930,6.38298,2.22222,7.44027,20.1087,-0.82908,-0.14592,0.10494,-1.44819
01011102,180,0,0,0,0,0,0,0,0
01011103,4818,9.30956,3.11262,18.51391,40.28269,-0.96813,0.13524,1.98567,2.50866
01011104,3913,9.76714,3.62225,24.61027,63.69983,-0.88293,0.37191,-4.65603,-9.01113
01011105,996,2.33161,0.51813,4.01606,8.98876,0.8962,-0.11982,1.13747,-0.60028
01011201,2078,6.42202,1.90039,8.80654,30.73394,0.86274,0.15893,0.78884,-1.49354
01011202,472,3.94366,0.84507,0.42373,0,-1.39758,-0.63861,-2.05375,-10.41667
01011203,854,3.7325,0.93313,3.16159,13.63636,0.48575,0.93313,0.04439,4.68114
01011204,5822,4.68396,1.13322,7.35143,24.29501,-1.33917,-0.39945,0.57454,1.37366
01011301,4902,2.98013,0.71319,3.79437,7.67754,-1.01561,-0.13923,0.61186,0.07128
01011302,12078,5.32514,1.15673,6.90512,14.27707,-0.87493,-0.26012,-0.08167,-2.23499
01011303,8141,7.00186,2.00776,9.36003,24.5023,-0.6812,-0.10637,-0.01459,-4.56924
01011304,8279,7.56193,2.52064,12.3928,40.71703,-1.75345,-0.44232,1.04363,-6.13336
01011305,6363,6.28979,1.83346,7.93651,32.72727,-1.1135,-0.53225,-0.75409,-9.87362
01011306,7857,7.14286,2.36318,8.33652,25.67204,-1.18418,-0.0915,0.83923,-1.38861
01011401,14026,4.98047,1.17188,5.4399,9.32777,-0.51078,-0.18936,-0.10526,-2.08748
01011402,12025,4.6372,1.08684,4.4158,6.54481,-0.50227,-0.05526,-0.82678,-3.03603
01022101,3142,12.62666,3.93609,23.1063,74.01316,-2.33849,0.12305,1.05485,8.28878
01022102,5849,13.56043,4.5563,26.31219,63.10811,-2.45348,-0.26409,0.32227,0.62462
01022103,220,0,0,0,0,0,0,0,0
01022104,17089,10.09299,3.53822,19.70858,50.28307,-2.69183,-0.319,0.26696,-2.58992
01022105,4887,11.48109,3.48961,25.57806,67.78626,-2.70889,-1.02671,-2.37385,-4.48265
01022106,10959,7.13128,2.23164,11.83502,24.59547,-1.0141,0.06641,-0.11279,-2.64863
01022201,10000,10.29412,3.09201,19.76,54.2517,-2.4542,-0.52594,-0.8157,-2.67397
01022202,1492,12.76392,4.51056,34.65147,69.79866,-1.66595,0.17151,2.51112,6.22477
01022203,6751,12.61453,4.45344,26.1739,56.62983,-2.9031,0.007,-1.18071,-11.08176
01022204,5677,7.95316,2.68358,11.87247,25.57003,-1.50046,-0.03561,-0.20928,-2.70137
01022205,3063,10.7002,3.59961,27.81587,56.09756,-1.19035,0.16677,1.54828,1.44169
01022206,3016,8.33709,2.65886,12.5,30.82902,0.19648,0.5312,-0.7464,-0.96289
01022207,5366,6.51589,1.91169,9.63474,27.3523,-0.01639,0.12552,0.69788,2.0869
01033101,24632,15.44249,5.36112,31.33323,71.52253,-2.79761,0.06932,1.17319,-0.54537
01033102,11030,13.2982,4.36328,28.24116,69.25816,-2.3268,-0.09369,-0.57192,-0.66101
01033201,12778,13.69242,4.42066,33.24464,68.9429,-2.2389,-0.34919,-1.07188,-2.42004
01033202,9611,12.15478,4.00999,24.30548,60,-2.30922,0.07399,-0.74526,-5.31499
01033203,13179,14.87802,4.95236,32.41521,73.21191,-3.91326,-0.6509,0.87928,1.02413
01044101,19210,11.89697,3.8779,21.24414,56.98828,-1.9913,-0.23189,0.96069,1.55252
01044102,15069,12.20287,4.06762,17.44641,53.79132,-1.58477,-0.34865,1.04326,0.79064
01044103,7738,11.92479,3.82649,20.21194,56.12245,-2.49439,0.00135,-0.31732,-1.41815
01044201,22224,15.0779,5.03619,32.11393,75.34984,-2.275,-0.17034,-0.21711,1.42633
01044202,15894,10.95319,3.50687,22.25997,62.79548,-2.6285,-0.56095,-0.33381,-1.92247
01044203,15364,13.89037,4.77843,27.25853,69.34231,-2.56352,-0.30922,-0.24147,-3.80055
02010101,6025,12.81223,4.84496,29.26141,65.13661,-0.08679,0.39328,-2.31146,-3.44046
02010102,12831,14.56409,5.54179,34.98558,70.57044,-1.0182,-0.04167,-1.81061,-3.96679
02010103,15351,17.84867,6.7787,37.56759,76.30162,0.41489,0.80629,-0.62323,-3.83132
02010104,5031,15.58258,5.82579,37.30869,72.07392,0.2294,0.48429,-2.51271,-7.70804
02020201,278,0,0,0,0,0,0,0,0
02020202,5650,8.22628,2.77214,13.34513,29.45302,-0.74564,0.03535,-2.87656,-10.30275
02020203,10169,7.76687,2.41692,11.99725,26.65576,-0.68897,-0.10682,-1.21897,-5.559
02020204,11894,8.0444,2.84355,12.80478,27.33096,-0.90464,0.34437,-0.71432,-3.215
02020205,14827,7.74348,2.41344,12.65934,26.25728,-0.7666,-0.06238,-1.52698,-5.18135
02020206,18748,9.43216,3.13268,17.8419,41.14264,-0.67006,0.15065,-1.95052,-6.66743
02030301,9295,13.22545,4.53404,29.29532,61.15765,-1.15683,0.018,-0.61564,-4.86106
02030302,13222,11.83577,3.90924,23.96763,51.66032,-0.2325,0.27361,-1.94717,-5.45968
02030401,14933,9.80376,3.11482,18.70354,44.09836,-0.88548,-0.20312,-1.96609,-6.27879
02030402,11312,9.63278,3.16007,18.13119,41.78132,-1.24114,-0.01982,-0.68213,-4.361
02040501,5324,9.40778,3.38409,13.73028,47.76119,-1.6512,-0.00062,0.34738,-4.82007
02040502,6834,7.64064,2.267,10.34533,29.95529,-2.33317,-0.39559,-0.50599,-5.36653
02040503,10271,6.10347,1.72018,7.1366,15.32779,-1.16487,-0.45227,-1.31096,-6.93783
02040701,12236,7.81832,2.49442,12.92089,45.21739,-0.95031,-0.12409,-0.49178,-5.31642
02040702,10433,6.72562,1.80595,7.47628,14.52359,-0.43105,-0.02512,-0.62141,-2.14308
02040703,591,8.61723,2.60521,19.62775,63.63636,-6.99123,-1.89214,-6.00784,-8.51554
02050601,8580,8.5013,2.49554,10.44289,25.63452,-0.90738,-0.25715,-0.21214,-0.67402
02050602,18718,8.06764,2.45902,10.39107,22.89519,-0.93455,0.07569,-1.14422,-3.74731
02050801,18227,8.33442,2.51013,12.26203,31.74832,-0.93746,-0.10781,-1.14861,-6.45274
02050802,19152,6.99611,1.9876,8.18713,17.00201,-0.701,-0.08494,-0.91163,-4.15725
02050803,6412,8.04707,2.25849,11.71241,30.85622,-1.73662,-0.28169,-1.27544,-4.44783
02050804,3127,3.37452,0.57034,3.58171,5.22979,-0.14994,-0.21872,-0.43119,-0.46874
03010101,2869,9.57718,3.61691,9.55037,20.45455,-1.3909,-0.50255,0.32013,-2.86006
03010102,10095,11.60596,4.38742,15.16592,48.13375,-1.93419,-1.07389,-0.06573,-3.14631
03010104,193,0,0,0,0,0,0,0,0
03020203,1958,7.3328,2.41741,5.10725,11.39241,0.39065,-1.05367,0.68853,-2.67795
03020209,13583,5.51567,1.74064,5.54369,9.43309,-1.11524,-0.78161,-0.19022,-2.56106
03020210,10134,5.55796,1.48308,6.31537,11.41935,-1.21225,-1.06517,-0.17151,-0.42367
03020307,16875,5.68072,1.86727,7.13481,16.44712,-0.64873,-0.50515,-0.49702,-3.19162
03030405,10558,6.36624,2.04578,8.5717,20.37548,-0.46835,-0.16166,-1.12846,-4.24251
03030406,8050,3.30033,1.06344,2.38509,4.6627,-0.2314,-0.066,-0.00953,-0.56544
03030711,6527,4.06748,1.47908,2.42071,5.09554,0.01405,-0.04095,-0.15089,-1.27896
03030715,6516,4.64602,1.63717,3.8674,9.97191,-1.3382,-0.53293,-0.06166,-0.709
03030716,1133,3.03907,1.01302,2.64784,4.25532,-2.64606,-0.88202,0.46634,-2.67537
03040508,4420,4.60875,1.42573,5.74661,12.6703,-0.93747,-0.99444,-0.74307,-3.01058
03040512,9398,5.24301,1.69774,4.9585,10.84337,-0.75199,-0.18403,-0.30918,-2.10341
03040513,3295,4.81696,1.68593,3.94537,5.6042,0.15296,0.08112,-0.51948,-2.83616
03040614,32896,7.11522,2.39219,8.01313,15.79457,-1.32916,-0.5246,-0.12277,-1.35249
03040818,32163,7.66282,2.50767,9.00414,22.08896,-1.45214,-0.51828,-0.06848,-2.77576
03050919,4839,8.64236,2.60842,8.94813,21.88139,-1.22126,-1.19748,0.57375,1.39946
03050920,6500,8.22479,2.67728,7.61538,17.64005,-1.63794,-0.88144,-0.433,-7.57004
03050923,8302,9.62199,3.62387,11.04553,22.42366,-1.49093,-0.46009,-0.39568,-4.79917
03050924,5416,11.18311,3.50372,11.52142,22.60536,-0.25399,-0.64844,-1.00492,-5.84534
03050925,8369,7.75034,2.84636,9.30816,17.35959,-1.32445,-0.66303,0.19598,-2.91068
03051017,4129,7.54119,2.78834,8.74304,23.80952,-1.15162,-0.31624,-0.79971,-0.97861
03051021,6450,10.45838,3.55638,10.48062,33.93148,-1.09982,-0.98049,1.02394,2.68148
03051022,4575,8.38687,2.8551,10.77596,37.66026,-0.29631,-0.33829,-0.05038,-0.88326
03061126,14273,7.64767,2.32115,7.7489,15.42169,-1.39047,-0.81134,-0.53363,-3.32004
03061131,9689,6.44149,2.2225,6.06874,8.64101,-1.747,-0.31387,-0.52619,-3.40719
03061227,14040,6.58307,1.94542,7.04416,13.77209,-1.44691,-0.88697,-0.02428,-2.66813
03061228,12001,9.60664,3.22874,10.02416,30.15564,-1.82919,-0.83733,-0.51014,-5.25662
03061332,21490,6.82786,2.26828,7.25454,12.13018,-1.37365,-0.51331,-0.22733,-2.26401
03061429,10088,10.79589,3.78903,10.65623,40.92664,-0.79144,-0.34524,0.19631,-4.71094
03061430,2885,13.73011,5.3624,11.71577,31.83521,-0.24901,-0.03203,1.41608,-2.70295
03061434,5939,8.46885,2.55544,8.63782,16.76471,-1.53784,-1.12185,-0.50494,-3.76161
03061435,3868,11.25645,3.95869,12.35781,37.2093,-0.36413,0.1785,-0.40593,1.51136
03061441,1842,2.24252,0,1.4658,1.27932,-0.59194,-0.34014,0.61964,0.02932
03071536,10323,5.64214,1.54645,5.84133,9.47109,-1.26141,-0.82664,0.02582,-1.93241
03071537,14314,5.71911,1.61879,5.42825,7.55129,-0.73161,-0.39993,-0.55856,-3.98355
03071633,2711,8.92374,3.08275,14.2014,28.90855,-4.2218,-3.13791,-2.13977,-12.50559
03071638,16365,6.20841,1.80067,6.21448,10.33663,-1.09547,-0.40443,-0.46327,-2.71054
03071639,11866,6.16392,1.79499,6.2026,8.30565,-0.37718,-0.48812,-0.31374,-1.0819
04010101,10054,13.23851,5.36105,20.98667,57.45234,-0.50843,-0.43487,1.50388,-0.3631
