id,inhabitants,k08_urban_apartments,k14_living_space,k15_living_ares
09020601,9424,15.01449,1.63763,35.21127
09020602,3580,42.13996,1.92318,36.71899
09020701,3059,24.56647,1.16836,30.28964
09020702,17151,18.26855,1.84747,37.87342
09020801,3061,53.56141,2.08527,39.30774
09020802,8292,30.04861,1.83177,35.44814
09030901,14458,11.95735,1.90012,41.52801
09030902,5660,76.2736,1.69311,31.44382
09030903,8169,53.29823,1.53936,36.16097
09031001,13167,12.26016,1.99795,41.51865
09031101,7217,5.69084,1.92365,41.43384
09031201,1871,0,2.2202,51.4527
09031202,2571,0,2.1867,50.92921
09041301,14506,22.88715,2.14828,40.33917
09041302,1911,0.31185,2.20147,52.90005
09041401,4802,35.05866,1.79988,40.9319
09041402,1569,0,1.98279,39.63352
09041501,7980,50.86554,1.78972,35.69486
09041601,6867,0,2.07136,46.67191
09051701,4062,37.21992,2.08099,39.2777
09051702,14947,23.8399,2.01318,40.70757
09051801,9856,6.73666,2.07539,47.59821
09051901,11733,8.29707,1.90838,41.85656
09052001,13294,10.45509,2.24221,42.66714
10010101,5709,93.98347,1.92153,32.83325
10010102,18613,51.17184,1.83931,32.19309
10010203,1262,,,
10010204,10586,21.54191,1.97695,33.03722
10010205,8198,29.99161,1.99085,35.18187
10010206,17316,24.00435,2.0928,36.13502
10010207,10782,56.23273,1.96262,34.70729
10010308,2228,23.41463,2.02513,42.35637
10010309,14860,31.62373,2.12227,35.92019
10010310,18273,18.66373,2.07246,37.56592
10010311,3681,24.84366,1.46726,36.15566
10020412,7171,23.87042,1.36201,31.11895
10020413,16168,48.02336,1.61381,32.56352
10020414,1716,0,1.44814,31.18182
10020415,6503,31.93408,1.62233,29.81655
10020416,5929,13.80235,1.73284,31.40918
10020517,9975,30.29733,2.10927,37.05003
10020518,5317,99.6063,1.3186,30.79199
10020519,6111,0,1.8074,29.77696
10020620,3465,2.93128,2.13016,34.72641
10020621,6342,86.27746,1.42274,32.21933
10020622,8919,6.8866,2.01278,32.34679
10020623,6487,83.74724,1.55742,35.91907
10030724,7805,1.21059,2.07277,44.9089
10030725,6952,42.13587,1.96289,35.43872
10030726,3938,22.89941,1.81234,38.16252
10030727,10260,0,1.99464,44.81033
10040828,7807,1.72037,2.03074,45.40515
10040829,3868,0,1.92916,42.51706
10040830,7733,0.05742,2.14458,47.75042
10040931,9921,0.11529,2.0756,45.7591
10040932,4457,4.75497,1.99529,44.78775
10040933,15379,0,2.14611,47.8851
11010101,649,28.82096,1.46995,31.37442
11010102,2653,2.48075,2.09649,45.43875
11010103,2189,40.1937,1.56327,36.87985
11010204,8986,54.25393,1.84531,32.48587
11010205,7052,44.15376,1.86415,32.85692
11010206,6095,66.49655,1.99754,33.2379
11010207,7609,91.62926,1.8925,29.46287
11010308,11690,36.26479,1.84354,33.3201
11010309,9583,88.0692,1.86998,32.73223
11010310,5825,8.32421,2.08326,37.83382
11020411,9998,38.83752,1.82036,38.0224
11020412,6856,43.376,1.84131,33.93334
11020513,3898,23.39109,1.67804,38.39046
11020514,9897,48.70567,1.88077,35.84268
11020515,15296,33.47127,1.82355,34.60584
11020516,4125,0,1.70861,38.55467
11030617,6058,25.93741,1.93067,32.54638
11030618,16427,31.1229,1.95471,34.93042
11030619,11266,27.37072,1.87742,33.26913
11030720,6359,29.67139,1.3771,29.74666
11030721,25044,32.82454,1.752,35.12825
11030824,9956,49.83492,1.86561,33.25773
11040925,4218,12.58185,1.60787,37.02655
11040926,29849,25.66321,1.87648,36.53536
11041022,5824,9.27622,1.81868,37.05271
11041023,6756,22.35364,1.74008,32.54381
11041027,3195,40.27304,1.75305,33.71831
11041128,27002,45.09409,1.90882,35.12084
11051229,4244,23.24324,1.66258,39.29972
11051330,10346,38.25116,1.66866,35.24744
11051331,10640,21.83033,2.04633,42.51767
11051332,7252,8.43634,1.86542,41.63431
12103115,7702,2.85258,1.72449,34.23617
12103116,9986,0.42292,1.5032,30.44182
12103117,10985,11.32715,1.5736,31.53619
12103218,14057,1.2337,1.62524,32.08999
12103219,8869,0.06207,1.72285,34.18661
12103220,4661,0.88433,2.02746,36.51126
12214125,7783,1.81191,1.86471,39.71579
12214126,8091,68.54162,1.80695,33.15499
12214421,2753,0,1.74718,33.88485
12214422,8270,44.46134,1.5283,29.68464
12214423,5667,2.31572,1.88759,35.97635
12214424,11022,1.69435,1.68518,32.81101
12214527,10959,0.0813,1.84661,42.11716
12214528,266,,,
12224229,6011,0,2.2344,51.4931
12224230,18099,2.27438,2.1452,47.61064
12231101,16726,2.50091,2.27921,51.02732
12231102,16689,0.37898,2.35365,54.01294
12301203,15001,2.08471,1.77741,35.21152
12301204,6434,9.22008,1.97871,44.08704
12301205,5166,0,2.08324,46.09214
12301206,5160,3.56201,2.09438,46.1626
12302107,3065,19.07336,1.90147,40.96803
12302108,14788,79.70399,1.63592,31.96653
12302109,11610,99.96081,1.51593,29.61395
12302110,10656,96.19114,1.48123,29.64443
12302211,3310,28.57999,2.01057,41.63353
12302212,5922,93.6526,1.59558,31.91439
12304313,6750,17.9944,1.94459,38.90237
12304314,9665,13.49546,2.173,41.71133
