id,inhabitants,k08_urban_apartments,k14_living_space,k15_living_ares
01011101,3419,0.65531,1.99942,41.3387
01011102,192,,,
01011103,5211,8.38384,1.84552,43.28306
01011104,4636,12.76068,1.37338,32.4437
01011105,1599,0,2.64603,75.22139
01011201,2573,9.34466,2.44112,48.45239
01011202,646,10.65375,2.26625,66.1935
01011203,1157,38.17427,2.07606,57.53673
01011204,8312,31.41952,2.00217,45.6268
01011301,6967,6.73203,2.05268,51.04435
01011302,12352,23.19402,2.02332,47.12905
01011303,9903,42.01231,1.88256,38.28961
01011304,9013,45.16399,1.85676,34.37623
01011305,9422,10.70025,1.85099,37.44332
01011306,10779,14.05561,1.58864,32.53669
01011401,17771,3.25477,1.73868,41.37617
01011402,13443,3.39391,1.79826,40.35141
01022101,3450,1.61711,1.5487,34.82319
01022102,6866,4.57903,1.43431,30.17594
01022103,275,,,
01022104,18536,4.09402,1.68537,36.61049
01022105,5235,3.00231,1.47889,32.46686
01022106,11333,0.65789,1.91159,42.53666
01022201,10825,0.26137,1.69025,37.80074
01022202,5178,11.2294,1.55427,41.39436
01022203,6976,14.68001,1.50846,31.75373
01022204,5935,0.11419,1.84701,42.83741
01022205,3280,34.43526,1.25518,29.75884
01022206,3132,0,1.9537,47.82727
01022207,5807,1.16495,1.9182,42.12519
01033101,26381,15.22174,1.42849,29.4095
01033102,11665,9.53048,1.49884,30.83532
01033201,14193,44.00616,1.45896,29.89629
01033202,10443,25.21528,1.51834,31.98066
01033203,14657,9.26563,1.4475,29.90933
01044101,20529,8.06771,1.63924,33.89576
01044102,16506,46.3379,1.73937,33.68605
01044103,8643,7.54012,1.59655,33.56693
01044201,23685,14.36327,1.34908,29.06185
01044202,16648,3.79747,1.50997,31.66272
01044203,15787,9.58305,1.57889,33.38082
02010101,6281,11.73901,1.68651,35.2143
02010102,14029,31.01831,1.48115,31.002
02010103,15171,42.17592,1.46859,29.05972
02010104,5009,5.53761,1.47614,32.21441
02020201,2067,2.71682,1.46831,39.01064
02020202,6008,2.63597,1.69108,38.71155
02020203,10969,0.11403,1.8617,43.15444
02020204,12384,0.50326,1.77059,38.9228
02020205,14760,17.79042,1.81816,40.92053
02020206,18886,1.2873,1.69236,38.65652
02030301,8775,20.5303,1.51066,32.37778
02030302,12938,15.31288,1.6525,36.08092
02030401,14955,2.63063,1.66165,38.82066
02030402,10903,4.43746,1.68101,37.70724
02040501,5451,70.63599,1.98,33.74977
02040502,7858,43.97117,1.83342,38.03245
02040503,11262,30.02239,1.75688,37.37853
02040701,13307,52.71615,1.62185,33.04479
02040702,11314,13.96199,1.72724,39.73095
02040703,1136,0,1.59683,36.95511
02050601,9134,11.97118,1.72017,38.24907
02050602,22173,6.38455,1.69332,38.00708
02050801,20872,12.6911,1.6721,36.57019
02050802,21568,4.00096,1.71648,39.4044
02050803,7868,10.42088,1.90252,41.4559
02050804,4709,8.00604,1.45466,37.49374
03010101,4305,25.48441,1.93078,41.38862
03010102,12165,51.87982,1.84028,32.24472
03010104,222,,,
03020203,2058,1.20482,2.10058,46.56511
03020209,15100,6.08296,1.76026,40.74113
03020210,11464,3.93386,1.84089,40.6557
03020307,18419,1.08603,1.77225,40.07253
03030405,11455,8.51299,1.92143,35.18752
03030406,8239,0.05397,2.09698,47.31557
03030711,6913,0.48091,2.09605,46.43527
03030715,7779,9.15638,1.97519,42.84522
03030716,1120,0,2.225,45.85982
03040508,4742,1.13261,1.91333,43.11978
03040512,10438,3.66383,1.9863,41.06084
03040513,3509,0.32895,1.87518,42.71473
03040614,37240,26.73089,1.82548,39.05371
03040818,35738,21.7082,1.93735,38.00414
03050919,5096,45.81248,2.08281,37.03866
03050920,7551,15.19644,1.83247,38.04807
03050923,10049,13.42769,1.74485,37.74943
03050924,6407,20.49743,1.80865,38.9641
03050925,9819,15.27315,1.78766,37.28801
03051017,4212,10.53131,1.77754,38.29748
03051021,6981,29.74296,2.01791,35.62197
03051022,4640,25.38649,1.96832,35.6778
03061126,16255,6.66168,1.75472,39.76696
03061131,10744,6.43811,1.73613,39.73948
03061227,14632,15.30519,1.84356,39.69177
03061228,12813,26.95838,1.89058,36.78912
03061332,22534,5.94626,1.78819,42.47537
03061429,9970,31.47899,2.07192,35.93681
03061430,3965,40.7117,1.54603,26.55813
03061434,6373,17.88979,1.95873,38.63424
03061435,4063,34.38801,1.85971,35.06867
03061441,2825,0,1.32531,37.57274
03071536,11328,8.88853,1.80155,42.12526
03071537,15930,8.91713,1.86698,44.33296
03071633,3188,61.10211,1.92252,37.68758
03071638,17612,7.46812,1.7517,40.69958
03071639,12823,15.91587,1.77221,41.68541
04010101,10765,19.3527,1.7961,31.46986
04010102,783,0,1.6705,43.7484
04010103,7855,94.12835,1.66773,31.66887
04020204,178,,,
04020205,1304,11.00324,2.18328,49.2684
04020206,2832,0,2.29732,49.16949
04020207,2569,0,2.14753,50.96964
04020208,2963,3.84615,2.14479,55.05805
04020209,3140,0,2.00032,45.19554
04020310,806,0,0.94045,22.96526
04020311,14745,1.23762,2.10654,47.77837
04020312,5573,4.00552,1.94366,45.9101
04020313,7212,11.43939,1.93594,40.547
04020314,6,,,
04030415,3329,0,1.62481,38.62932
04030416,10334,44.06358,1.61864,35.20757
04030417,10786,1.48002,1.92472,42.99416
04030518,9637,0.59935,1.90236,38.31753
04030519,5930,11.99391,1.79562,39.26998
04030620,8859,2.52883,1.78677,38.57422
04030621,3429,3.50379,1.67104,41.52814
04030622,10811,14.68843,1.80834,39.59809
04030623,5157,21.93465,1.82567,40.89839
04030724,6488,2.4058,1.85712,43.60219
04030725,12142,1.22995,1.84525,43.62749
04030726,5641,2.57665,1.95178,46.73515
04030827,12155,0.95901,1.6891,37.92291
04030828,9538,4.30264,1.94674,46.5715
04030929,5964,1.43799,2.11771,51.70858
04030930,5597,1.92194,2.32964,61.72021
04030931,3581,0,2.09941,53.74225
04031032,15602,3.0273,1.9809,46.52807
04041133,110,,,
04041134,5470,7.16859,2.02157,54.83108
04041135,2786,2.24647,2.57251,73.39878
04041136,3173,0.34033,2.41696,68.00032
04041137,8264,4.87957,2.07103,44.06909
04041238,6081,11.68791,1.94524,44.79082
04041239,1038,0,1.28227,35.20231
04041240,1513,0,2.63781,70.24785
04041241,7023,4.96233,1.97409,42.69073
04041342,4178,61.26984,1.86908,38.57851
04041343,3574,4.74543,2.09401,45.17208
04041344,10593,0,1.82762,42.46899
04051445,6496,10.24147,1.8008,37.71429
04051446,11048,0.32616,1.97203,46.41646
04051447,5283,0.94251,1.97615,45.87015
04051448,9334,4.29826,1.93272,45.52539
04051549,4715,10.0256,1.70201,34.8439
04051550,5625,0.38961,1.85031,41.38418
04051551,4436,1.65184,1.77254,38.49234
04051652,9834,0.71996,1.88408,44.15416
04051653,6913,9.30824,1.94518,44.60205
04051654,3071,0,1.85282,41.10908
04051655,7489,2.28333,1.7475,39.24583
04051656,7572,8.76565,1.83756,41.12824
04061757,62,,,
05010101,10672,1.746,1.62331,35.44031
05010102,8500,0.38015,1.69765,34.17918
05010103,7608,0,2.14708,43.67692
05010204,3619,55.27273,1.34816,27.80851
05010205,2314,0,1.91271,41.8306
05010206,10703,23.37737,1.67355,35.71559
05010207,11547,28.79274,1.72833,32.10401
05010208,7709,16.92726,1.93592,34.25438
05010209,6068,2.3279,2.00544,41.85168
05010310,4025,6.32464,1.77342,34.96472
05010311,5756,3.53448,1.21161,27.87908
05010312,7335,1.59863,1.4574,31.13742
05010313,6753,1.86353,1.67807,35.42307
05010314,12340,26.78545,1.81361,35.03006
05010339,957,0,0.80251,18.68025
05020415,3839,0,1.94347,42.7752
05020416,1694,0,2.16411,35.4941
05020417,5780,0.51508,2.06747,43.70087
05020418,4386,0,1.65458,33.85545
05020419,7200,43.49604,1.78722,35.93514
05020420,1170,4.63458,1.78974,40.15641
05020521,3254,0,1.73725,39.02797
05020522,7571,17.38372,1.60666,30.96262
05020523,12398,83.50497,1.53234,30.95523
05020524,6241,9.54369,2.17898,46.34962
05020625,7858,0.369,1.81471,37.67969
05020626,18268,2.5832,1.88849,37.623
05020627,4453,29.9537,1.61868,33.96946
05020628,2003,84.8537,1.99201,38.87569
05020629,4436,0,2.3422,55.62804
05030730,4608,26.85185,1.2053,24.10742
05030731,11885,61.50278,1.7703,33.24788
05030832,12254,0,1.64518,34.26473
05030833,486,0,1.20988,32.01029
05040934,3198,5.60261,2.29518,54.63759
05040935,444,34.65347,1.7455,33.5045
05040936,10315,0,2.11498,49.64527
05040937,2198,0,2.26479,50.95632
05040938,3682,0,2.2792,50.3843
06010101,6988,0.78762,2.06125,45.17831
06010102,8808,0.34581,1.91496,42.82754
06010103,6281,0.23938,1.84206,40.18325
06010204,6887,0.05223,1.74967,37.53724
06010205,9881,1.52911,1.86439,41.3527
06010206,7694,0,1.93462,40.68365
06010207,8008,1.3787,1.91583,40.69755
06010208,6824,0.86546,1.87163,40.9638
06010209,9339,5.7921,1.83842,38.59589
06010210,4868,1.62182,1.90325,38.61545
06020301,4937,0,2.01033,42.49402
06020302,6097,2.59829,1.75742,39.18517
06020303,7410,15.09872,1.82861,36.99582
06020304,7313,29.34652,1.84028,37.69971
06020305,11399,5.54813,1.74042,35.03053
06020306,6402,8.71685,2.11153,45.89269
06020407,4636,0,1.73059,34.18464
06020408,7055,12.59944,1.99972,40.52374
06020409,8349,0.46368,1.90933,43.17487
06020410,7062,0.17089,2.10337,46.93231
06020411,8627,23.43001,1.98655,42.67277
06030501,5670,0,2.05697,44.95961
06030502,5616,8.18767,1.87518,37.10915
06030503,11696,3.69735,2.10534,44.36756
06030504,11050,0.26168,2.1391,48.18317
06030605,7088,0.57956,1.98279,44.58691
06030606,5612,6.19634,1.60192,35.21222
06030607,3152,0,1.71098,34.42608
06030608,13747,0.44723,1.83014,42.39325
06030609,12046,3.99625,1.98888,44.70795
06030610,8511,1.14467,2.08483,49.11162
06040701,10126,1.67778,2.20462,54.10567
06040702,5234,9.41176,1.97039,45.02503
06040703,11498,5.39608,1.98678,48.33962
06040804,7511,0,2.47158,59.047
06040805,5278,0.55887,2.22831,51.87704
06040806,7266,0,2.15414,44.08079
06040807,5958,0,2.13343,49.20292
06040808,4810,0,1.7657,43.10582
06040809,4902,0,2.17054,55.22073
06040810,7204,2.72418,2.3487,65.10217
07010101,9808,6.98237,1.9321,45.64519
07010102,16387,25.08285,1.7401,38.69049
07010103,10468,2.44679,1.88021,42.46561
07010104,13480,34.31264,1.68138,36.69763
07020201,10578,7.90792,2.0692,45.86642
07020202,10501,12.87441,1.69279,37.982
07020203,17811,9.41657,1.73213,40.55769
07020204,12716,1.70161,1.81858,41.19055
07030301,24466,1.46958,1.99787,45.29085
07030302,9371,4.8054,1.99776,43.31939
07030303,12302,0.67655,1.78573,36.79768
07040401,17502,34.25179,1.71466,38.60342
07040402,2255,0,2.03193,35.88381
07040403,24582,8.083,1.77207,36.39106
07040404,5114,0,2.07783,39.37681
07040405,11104,4.2976,1.59951,34.61023
07040406,3980,0,1.44925,31.05427
07050501,17028,10.83851,1.7335,35.09443
07050502,8141,29.24805,1.6821,34.75396
07050503,9101,4.53679,1.88111,36.79541
07050504,5653,0,1.69927,37.41129
07050505,10584,6.76692,1.80763,38.90826
07050506,2233,0,2.13524,48.29243
07060601,10193,17.75135,1.58746,32.38183
07060602,4740,4.32937,2.02068,43.96561
07060603,2869,0,1.75183,36.70338
07060604,14462,44.31154,1.73773,36.39414
07070701,10498,6.37005,2.0361,43.88426
07070702,10895,11.25433,1.91547,41.5698
07070703,8485,42.88533,1.68627,39.77749
07070704,8431,20.63216,1.56873,35.75602
07070705,6978,0,2.16538,47.69791
07070706,3859,10.98528,1.87898,40.81057
07070707,2964,0,2.29926,50.80128
08010115,1010,0,1.60891,40.77129
08010116,3542,13.60276,1.52372,34.97544
08010117,15688,6.46067,1.62353,34.35569
08010118,12240,9.58003,1.39959,30.36846
08010211,9668,7.36948,1.56268,34.81961
08010212,7451,68.20708,1.2189,31.14857
08010213,12288,5.06804,1.52954,33.12061
08010214,8524,2.30866,1.42198,30.11685
08010301,27007,4.64899,1.64391,36.6649
08010302,3868,0,1.89504,36.53568
08010303,8264,3.25515,1.53981,33.39872
08010404,23011,6.65865,1.55391,34.34966
08010405,8811,0.91146,1.67064,34.17966
08010406,7100,4.29642,1.47141,29.25352
08010407,777,20.29598,1.75933,35.87516
08010508,5767,6.375,1.63066,26.02532
08010509,9172,37.0202,1.25709,27.15526
08010510,448,0,1.05134,27.69196
08020619,11672,7.18447,1.46873,29.78915
08020620,9329,26.21299,1.59106,32.75742
08020621,2341,0,2.06279,45.5754
08020622,14254,14.1011,1.73657,35.38698
08020623,1253,0,1.55387,34.70471
08020624,1404,0,1.8839,39.04986
08020625,3321,8.27225,1.97772,40.15236
08020726,8320,15.40262,1.87308,40.23281
08020727,11578,13.92623,1.89135,38.4138
08020728,8698,26.59852,1.77248,37.05944
08030829,12534,0,1.61066,34.10037
08030830,7303,0,1.62522,38.39819
08030831,17754,60.75564,1.6247,33.52039
08040932,2834,32.24734,1.90296,36.95166
08040933,4103,5.94901,1.95296,40.93151
08040934,2661,7.93269,1.94626,42.71965
08041035,8264,0.02826,1.98596,44.61302
08041036,6844,6.51178,2.06385,44.16745
08041037,9997,5.31496,1.95799,41.0065
08041038,7118,0.40173,2.00155,44.17926
08041039,3776,12.73256,1.53628,32.82177
08041040,7951,29.43182,1.82266,38.49717
09010101,13104,16.81429,1.5786,35.70917
09010102,63,,,
09010201,4375,21.23934,1.86903,39.71657
09010202,6924,29.97643,1.94642,34.99047
09010301,15796,10.10695,1.9115,36.83344
09010302,3098,6.05795,1.75565,39.21917
09010401,8480,20.69876,1.94906,37.87358
09010402,11480,25.41509,1.79416,39.27805
09020501,7535,11.08434,1.54599,34.40557
09020502,16103,34.09313,1.78141,35.53624
