id,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01100101,3419,2.8169,25.61576,9.72603,83.18043,59.9298,-1.30611,8.55365,,0,55.91725,38.36051,0.50707,-4.83009
01100102,1791,0,26.97368,4.58716,88.28452,66.94584,6.16502,3.07868,,0.61418,40.15152,49.55817,5.17884,1.50901
01100103,5211,3.85356,27.27273,20.19651,80.80357,58.35732,0.80354,21.03695,,6.04491,57.48744,29.77873,2.40964,0.29533
01100104,4636,4.375,24.23529,28.3237,79.94859,64.58154,-1.39921,25.29481,,8.23986,59.03233,32.69263,-2.08722,-2.64828
01100205,2573,2.51799,20.20202,4.31655,85.61873,61.91216,3.07515,7.04762,,0,56.43604,42.22104,3.04325,-5.97983
01100206,1803,0,32.29814,2.48963,80.95238,52.46811,-0.35957,5.939,,0,50.78901,34.68697,1.29355,-8.3939
01100207,8312,2.10896,19.93769,4.63619,79.70874,51.62416,0.55354,10.67416,,0,54.20986,30.87049,-0.07675,-4.51997
01100308,6967,0.87527,23.75,3.38462,54.27666,44.16535,0.36373,3.88727,,0.30142,50.51656,37.97037,-0.61408,-11.17374
01100309,12352,1.51659,32.90371,5.65844,52.92339,40.96503,-0.49381,10.523,,0,63.34014,27.40508,-1.5059,-3.79202
01100310,9903,1.97775,28.38196,7.75623,70.23173,48.92457,0.10639,10.85986,,0,57.06911,37.77713,-0.61443,-0.48062
01100311,9013,3.6855,36.4676,3.76656,77.85336,45.86708,3.35281,26.91706,,0,67.17859,24.15417,1.64735,2.01226
01100312,9422,2.16138,22.17742,2.59179,69.43958,44.44916,3.1179,8.54893,,0,54.47236,31.61474,6.83385,12.29195
01100313,10779,1.2285,25.17647,2.46753,62.21889,46.08034,1.18405,9.72607,,0,55.74123,31.952,0.30958,-4.13954
01100414,5178,1.43266,13.9576,6.77291,68.16193,53.82387,-0.90689,6.40274,,0,32.30414,38.10362,0.40868,-1.99913
01100415,12593,1.39535,29.24107,6.86275,47.00438,40.03812,-1.31583,6.68907,,0,61.08329,31.91072,-1.87593,-7.21554
01100416,13443,1.2848,28.3105,5.46164,48.76385,40.41509,-0.75207,5.60563,,0,57.61144,30.30952,-1.72266,-6.31893
01200517,3725,4.94118,31.41892,25.35714,84.4523,57.63758,0.47337,33.95818,,100,56.5648,33.32549,-2.02857,-6.7182
01200518,6866,5.2356,31.62055,23.91681,84.65724,62.8896,0.56191,25.88278,,100,51.221,41.12614,0.8449,-6.03391
01200519,9103,5.14286,31.19658,15.97415,71.16317,53.75151,-0.01479,27.0068,,99.43975,57.2771,33.4158,-1.88901,-10.7226
01200520,9433,4.772,28.51511,16.0221,67.11676,48.0229,-0.11565,23.51553,,100,61.56066,28.7106,-1.31963,-6.24351
01200521,5235,5.19288,28.57143,22.72727,80.81683,58.96848,-1.455,31.20045,,100,59.79526,31.73974,-2.06079,-5.96503
01200522,11333,2.14753,23.66738,7.70823,51.62162,35.60399,-0.38873,15.64327,,1.62358,68.22284,22.33375,-0.54096,-4.15362
01200623,10825,4.88627,23.71245,16.06383,68.50444,50.49423,-0.69871,23.41463,,99.97229,59.26106,30.97687,-1.54846,-4.88519
01200624,5178,3.53635,15.83012,14.12214,84.0796,67.32329,10.20121,9.06667,,55.02124,22.71024,72.65453,42.94276,33.44061
01200625,6976,7.60095,28.35821,19.42517,81.78105,59.76204,0.34467,35.94739,,100,67.36206,24.66955,-0.79376,-5.07249
01200626,5935,2.04082,22.82158,10.06224,58.23755,42.89806,-2.719,12.08244,,0.52233,63.1904,34.76949,-2.54809,-1.30388
01200627,3280,6.98254,30.30303,21.31474,85.71429,64.78659,-0.42013,42.9003,,100,68.09415,19.86441,-1.4092,2.28792
01200628,3132,1.08696,28.31541,14.31818,67.15686,42.40102,0.55738,10.96296,,0,63.68159,27.45932,1.18216,0.35964
01200629,5807,1.19363,24.19825,9.39005,60.11673,47.89048,0.22072,6.79245,,0,60.57437,29.80299,0.3309,-7.02303
