id,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
12200414,1428,-0.45965,,-0.16742,0.36599,-0.26108,-0.08834,mittel,-0.7573
12200515,10959,-0.59635,,-0.57606,-0.37066,-1.54307,-0.52211,mittel,-0.52815
12400616,6011,-1.25441,,-1.20026,-1.13993,-3.5946,-1.21625,hoch,-0.88781
12400617,6871,-1.30004,,-1.22472,-1.35004,-3.8748,-1.31106,hoch,-0.68621
12400618,3764,-1.31532,,-1.05911,-1.10776,-3.48219,-1.17822,hoch,-1.31018
12400619,7730,-1.26435,,-1.06811,-1.07815,-3.41061,-1.154,hoch,-0.78647
12400720,8662,-1.35624,,-1.22048,-1.24946,-3.82618,-1.29461,hoch,-1.23213
12400721,8027,-1.30977,,-1.14207,-1.18879,-3.64063,-1.23183,hoch,-1.28554
12400722,8608,-1.12885,,-1.14947,-1.2244,-3.50272,-1.18517,hoch,-0.78096
12400723,8118,-1.22712,,-1.11871,-1.08648,-3.43231,-1.16134,hoch,-0.8135
12500824,9665,-0.54889,,-0.60743,-0.68081,-1.83713,-0.6216,mittel,-0.35041
12500825,6750,0.0148,,-0.12142,-0.01907,-0.12569,-0.04253,mittel,-0.2921
12500926,5065,0.48495,,-0.07815,0.22484,0.63164,0.21372,mittel,0.12656
12500927,6434,-0.63555,,-0.546,-0.23148,-1.41303,-0.47811,mittel,-0.0844
12500928,5166,-0.70339,,-0.82387,-0.73776,-2.26502,-0.76638,mittel,-0.45934
12500929,5160,-1.16517,,-1.19294,-1.218,-3.57611,-1.21,hoch,-1.08672
12500930,9936,-0.02334,,0.00596,0.35055,0.33317,0.11273,mittel,-0.43776
12601031,3310,-0.3112,,-0.44162,-0.18266,-0.93548,-0.31652,mittel,-0.93556
12601032,5922,1.91876,,3.05704,2.44261,7.41841,2.51006,sehr niedrig,0.58105
12601133,11610,1.99428,,2.45683,1.78981,6.24092,2.11165,sehr niedrig,1.89751
12601134,14722,1.48439,,1.72836,1.62042,4.83317,1.63533,sehr niedrig,0.89565
12601235,10656,1.55628,,2.33202,1.68024,5.56854,1.88415,sehr niedrig,0.73944
12601236,3131,-0.77216,,-0.54118,-0.30685,-1.62019,-0.5482,mittel,-0.61506
