id,planning_area_name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class
01011101,Stülerstraße,3114,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011102,Großer Tiergarten,192,0,,0,,0,
01011103,Lützowstraße,5518,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011104,Körnerstraße,4704,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011105,Nördlicher Landwehrkanal,1135,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
01011201,Wilhelmstraße,2190,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011202,Unter den Linden Nord,608,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
01011203,Unter den Linden Süd,1004,2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ"
01011204,Leipziger Straße,7463,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011301,Charitéviertel,6431,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
01011302,Oranienburger Straße,12535,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011303,Alexanderplatzviertel,9536,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011304,Karl-Marx-Allee,8607,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011305,Heine-Viertel West,7617,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011306,Heine-Viertel Ost,9530,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011401,Invalidenstraße,16331,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
01011402,Arkonaplatz,13341,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
01022101,Huttenkiez,3522,4,sehr niedrig,-,negativ,4-,"Status sehr niedrig, Dynamik negativ"
01022102,Beusselkiez,6374,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
01022103,Westhafen,258,0,,0,,0,
01022104,Emdener Straße,18377,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01022105,Zwinglistraße,5299,3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
01022106,Elberfelder Straße,11799,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01022201,Stephankiez,11292,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01022202,Heidestraße,1488,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
01022203,Lübecker Straße,6969,3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
01022204,Thomasiusstraße,5824,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01022205,Zillesiedlung,3311,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01022206,Lüneburger Straße,3027,2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv"
01022207,Hansaviertel,5630,2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv"
01033101,Soldiner Straße,26841,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
01033102,Gesundbrunnen,11837,3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
01033201,Brunnenstraße,13361,4,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv"
01033202,Humboldthain Süd,9726,3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
01033203,Humboldthain Nordwest,14478,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
01044101,Rehberge,20722,3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
01044102,Schillerpark,16238,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01044103,Westliche Müllerstraße,8589,3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
01044201,Reinickendorfer Straße,23424,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
01044202,Sparrplatz,16703,3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
01044203,Leopoldplatz,16462,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
02010101,Askanischer Platz,6481,3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv"
02010102,Mehringplatz,13278,4,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv"
02010103,Moritzplatz,15593,4,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv"
02010104,Wassertorplatz,5044,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
02020201,Gleisdreieck/Entwicklungsgebiet,911,1,hoch,+,positiv,1+,"Status hoch, Dynamik positiv"
02020202,Rathaus Yorckstraße,5990,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02020203,Viktoriapark,10886,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02020204,Urbanstraße,12326,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02020205,Chamissokiez,14892,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02020206,Graefekiez,19052,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02030301,Oranienplatz,9092,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
02030302,Lausitzer Platz,13166,2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv"
02030401,Reichenberger Straße,15156,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02030402,Wrangelkiez,11083,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02040501,Barnimkiez,5381,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02040502,Friedenstraße,7181,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02040503,Richard-Sorge-Viertel,10976,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02040701,Andreasviertel,12331,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02040702,Weberwiese,10714,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02040703,Wriezener Bahnhof/ Entwicklungsgebiet,1145,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02050601,Hausburgviertel,8900,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02050602,Samariterviertel,21064,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02050801,Traveplatz,19093,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02050802,Boxhagener Platz,20431,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02050803,Stralauer Kiez,6986,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
02050804,Stralauer Halbinsel,4171,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
03010101,Bucher Forst,3928,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03010102,Buch,11685,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03010104,Lietzengraben,227,0,,0,,0,
03020203,Blankenfelde,2116,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03020209,Niederschönhausen,14726,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03020210,Herthaplatz,11132,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03020307,Buchholz,17930,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03030405,Karow Nord,10986,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03030406,Alt-Karow,8245,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
03030711,Blankenburg,6810,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
03030715,Heinersdorf,7388,2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ"
03030716,Märchenland,1138,2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ"
03040508,Rosenthal,4530,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
03040512,Wilhelmsruh,9783,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03040513,Schönholz,3412,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
03040614,Pankow Zentrum,35308,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03040818,Pankow Süd,34314,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03050919,Gustav-Adolf-Straße,5564,2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ"
03050920,Weißer See,7397,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03050923,Weißenseer Spitze,9098,2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv"
03050924,Behaimstraße,5883,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03050925,Komponistenviertel Weißensee,9468,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03051017,Rennbahnstraße,4247,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03051021,Buschallee,6503,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03051022,Hansastraße,4527,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03061126,Arnimplatz,15187,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03061131,Falkplatz,10521,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03061227,Humannplatz,14520,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03061228,Erich-Weinert-Straße,12619,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03061332,Helmholtzplatz,22519,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03061429,Greifswalder Straße,10082,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03061430,Volkspark Prenzlauer Berg,3921,2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv"
03061434,Anton-Saefkow-Park,6238,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03061435,Conrad-Blenkle-Straße,3875,2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv"
03061441,Eldenaer Straße,2560,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
03071536,Teutoburger Platz,10747,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03071537,Kollwitzplatz,15635,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03071633,Thälmannpark,3010,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03071638,Winsstraße,17260,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
03071639,Bötzowstraße,12367,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04010101,Jungfernheide,11043,3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv"
04010102,Plötzensee,895,2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ"
04010103,Paul-Hertz-Siedlung,7771,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
04020204,Olympiagelände,199,0,,0,,0,
04020205,Siedlung Ruhleben,1329,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
04020206,Angerburger Allee,2754,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04020207,Flatowallee,2532,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
04020208,Kranzallee,2878,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
04020209,Eichkamp,3189,1,hoch,-,negativ,1-,"Status hoch, Dynamik negativ"
04020310,Park Ruhwald,602,1,hoch,-,negativ,1-,"Status hoch, Dynamik negativ"
04020311,Reichsstraße,14756,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04020312,Branitzer Platz,5467,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04020313,Königin-Elisabeth-Straße,7530,2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ"
04020314,Messegelände,436,0,,0,,0,
04030415,Schloßgarten,2837,3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
04030416,Klausenerplatz,10655,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030417,Schloßstraße,10927,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030518,Tegeler Weg,9417,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030519,Kaiserin-Augusta-Allee,5734,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030620,Alt-Lietzow,8597,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030621,Spreestadt,3021,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030622,Richard-Wagner-Straße,10459,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030623,Ernst-Reuter-Platz,4788,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030724,Lietzensee,6416,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030725,Amtsgerichtsplatz,12128,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030726,Droysenstraße,5426,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030827,Karl-August-Platz,12238,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030828,Savignyplatz,9491,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030929,Hindemithplatz,5981,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030930,George-Grosz-Platz,5600,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04030931,Breitscheidplatz,3915,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04031032,Halensee,14931,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04041133,Güterbahnhof Grunewald,43,0,,0,,0,
04041134,Bismarckallee,5156,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04041135,Hundekehle,2739,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
04041136,Hagenplatz,3033,1,hoch,-,negativ,1-,"Status hoch, Dynamik negativ"
04041137,Flinsberger Platz,7976,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04041238,Kissinger Straße,5907,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04041239,Stadion Wilmersdorf,213,0,,0,,0,
04041240,Messelpark,1533,1,hoch,-,negativ,1-,"Status hoch, Dynamik negativ"
04041241,Breite Straße,6904,1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
04041342,Schlangenbader Straße,4115,2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ"
04041343,Binger Straße,3547,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04041344,Rüdesheimer Platz,10642,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04051445,Eisenzahnstraße,6220,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04051446,Preußenpark,10591,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04051447,Ludwigkirchplatz,5228,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04051448,Schaperstraße,9067,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04051549,Rathaus Wilmersdorf,5348,2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv"
04051550,Leon-Jessel-Platz,5512,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04051551,Brabanter Platz,4397,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04051652,Nikolsburger Platz,9700,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04051653,Prager Platz,6684,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04051654,Wilhelmsaue,3038,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04051655,Babelsberger Straße,7063,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04051656,Hildegardstraße,7568,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
04061757,Forst Grunewald,83,0,,0,,0,
05010101,Hakenfelde Nord,10883,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
05010102,Goltzstraße,5885,2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ"
05010103,Amorbacher Weg,7623,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
05010204,Griesingerstraße,3297,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
05010205,An der Tränke,1910,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
05010206,Gütersloher Weg,10246,3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
05010207,Darbystraße,11492,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
05010208,Germersheimer Platz,7627,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
05010209,An der Kappe,6098,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
05010310,Eckschanze,3880,3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
05010311,Eiswerder,5670,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
05010312,Kurstraße,7117,4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil"
05010313,Ackerstraße,6704,3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
05010314,Carl-Schurz-Straße,11968,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
05010339,Freiheit,974,2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
