id,planning_area_name,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
01011102,Großer Tiergarten,196,,,,,,,,
01011103,Lützowstraße,5038,0.2366,,0.75805,0.66785,1.6625,0.56402,mittel,0.28622
01011104,Körnerstraße,4759,0.46074,,0.88868,0.95277,2.30219,0.78104,mittel,0.76834
01011105,Nördlicher Landwehrkanal,1421,-1.43684,,-1.19535,-1.23167,-3.86386,-1.31086,hoch,0.63801
01011201,Wilhelmstraße,2405,-0.65017,,-0.46436,-0.36493,-1.47946,-0.50192,mittel,0.88234
01011202,Unter den Linden Nord,632,-1.14466,,-1.27085,-0.80772,-3.22323,-1.09352,hoch,1.2334
01011203,Unter den Linden Süd,1115,-0.90827,,-0.91652,-1.07954,-2.90433,-0.98533,mittel,-0.16328
01011204,Leipziger Straße,8279,-0.79917,,-0.56319,-0.29056,-1.65292,-0.56077,mittel,0.54618
01011301,Charitéviertel,6919,-1.27189,,-1.13151,-1.19039,-3.59379,-1.21923,hoch,0.78038
01011302,Oranienburger Straße,12572,-0.80224,,-0.73261,-0.8081,-2.34295,-0.79487,mittel,0.79219
01011303,Alexanderplatzviertel,9999,-0.33081,,-0.43949,-0.31302,-1.08332,-0.36753,mittel,0.53775
01011304,Karl-Marx-Allee,8761,0.27189,,0.18937,0.66302,1.12428,0.38142,mittel,0.13335
01011305,Heine-Viertel West,8243,-0.63691,,-0.71208,-0.47844,-1.82743,-0.61998,mittel,0.38599
01011306,Heine-Viertel Ost,10607,-0.74903,,-0.65774,-0.55111,-1.95788,-0.66423,mittel,-0.06441
01011401,Invalidenstraße,17948,-1.06523,,-0.89037,-0.99009,-2.94569,-0.99936,mittel,0.59675
01011402,Arkonaplatz,13645,-1.17654,,-1.05931,-1.22134,-3.45719,-1.17289,hoch,0.41935
01022101,Huttenkiez,3557,1.2036,,1.55475,2.37045,5.1288,1.74,sehr niedrig,-4.15199
01022102,Beusselkiez,6709,1.02537,,1.30542,1.52997,3.86076,1.30981,niedrig,-2.65217
01022103,Westhafen,272,,,,,,,,
01022104,Emdener Straße,18974,0.49068,,0.73901,0.87026,2.09995,0.71243,mittel,-0.63209
01022105,Zwinglistraße,5426,0.72862,,1.33014,1.46079,3.51955,1.19405,niedrig,-1.07543
01022106,Elberfelder Straße,11421,-0.35054,,-0.34829,-0.50445,-1.20328,-0.40823,mittel,0.48265
01022201,Stephankiez,11027,0.05948,,0.50075,0.47551,1.03574,0.35139,mittel,-0.08812
01022202,Heidestraße,2495,0.52571,,0.63556,0.43487,1.59614,0.54151,mittel,-3.08
01022203,Lübecker Straße,7083,1.26379,,1.71741,1.36927,4.35047,1.47595,niedrig,-0.31115
01022204,Thomasiusstraße,6236,-0.65285,,-0.3206,-0.65544,-1.62889,-0.55262,mittel,-0.54737
01022205,Zillesiedlung,3349,1.23075,,1.79153,0.66441,3.68669,1.25075,niedrig,-0.79713
01022206,Lüneburger Straße,3044,-0.20268,,-0.33197,-0.62792,-1.16257,-0.39442,mittel,0.75945
01022207,Hansaviertel,5771,-0.66908,,-0.55326,-0.60978,-1.83212,-0.62157,mittel,0.88718
01033101,Soldiner Straße,27088,1.9036,,2.48985,2.26704,6.66049,2.25965,sehr niedrig,-0.30531
01033102,Gesundbrunnen,12063,1.08957,,1.74358,1.66143,4.49458,1.52484,sehr niedrig,-0.73206
01033201,Brunnenstraße,13919,1.39832,,2.34515,1.66736,5.41083,1.83569,sehr niedrig,-0.78331
01033202,Humboldthain Süd,10273,0.70056,,1.30524,1.17556,3.18136,1.07931,niedrig,-0.91481
01033203,Humboldthain Nordwest,14684,1.64092,,2.17984,2.03249,5.85325,1.98578,sehr niedrig,-0.81071
01044101,Rehberge,21023,0.86797,,0.99115,1.3159,3.17502,1.07716,niedrig,-0.72116
01044102,Schillerpark,16630,0.71097,,0.886,1.17638,2.77335,0.94089,mittel,-0.1684
01044103,Westliche Müllerstraße,8684,0.73536,,1.05574,1.60774,3.39884,1.1531,niedrig,-1.05286
01044201,Reinickendorfer Straße,24356,1.67368,,2.30295,2.22037,6.197,2.1024,sehr niedrig,-1.18748
01044202,Sparrplatz,17122,0.79401,,1.05303,1.42468,3.27172,1.10997,niedrig,-1.02495
01044203,Leopoldplatz,16328,1.62631,,1.94119,1.90031,5.46781,1.85502,sehr niedrig,-0.58079
02010101,Askanischer Platz,6823,0.96028,,1.19257,0.82043,2.97328,1.00872,niedrig,-0.92917
02010102,Mehringplatz,13693,1.89744,,2.13024,1.49751,5.52519,1.87448,sehr niedrig,-1.23645
02010103,Moritzplatz,15302,2.88227,,2.46305,1.95373,7.29905,2.47629,sehr niedrig,-0.38833
02010104,Wassertorplatz,5086,2.27846,,2.481,1.9287,6.68816,2.26903,sehr niedrig,-0.31331
02020201,Gleisdreieck/Entwicklungsgebiet,1790,-1.29459,,-1.05493,-1.06827,-3.41779,-1.15952,hoch,0.36426
02020202,Rathaus Yorckstraße,6099,0.22068,,0.26299,0.11654,0.60021,0.20363,mittel,0.70541
02020203,Viktoriapark,11056,-0.24209,,-0.27706,-0.43503,-0.95418,-0.32372,mittel,0.55056
02020204,Urbanstraße,12808,-0.18812,,-0.09106,-0.31211,-0.59129,-0.2006,mittel,0.52543
