id,inhabitants,status_index,dynamic_index
01011101,2930,2,+/-
01011102,180,0,0
01011103,4818,2,-
01011104,3913,3,+
01011105,996,1,-
01011201,2078,2,-
01011202,472,1,+
01011203,854,1,-
01011204,5822,2,+/-
01011301,4902,1,+/-
01011302,12078,2,+/-
01011303,8141,2,+/-
01011304,8279,2,+/-
01011305,6363,2,+
01011306,7857,2,+/-
01011401,14026,2,+/-
01011402,12025,1,+/-
01022101,3142,3,-
01022102,5849,4,+/-
01022103,220,0,0
01022104,17089,2,+/-
01022105,4887,3,+
01022106,10959,2,+/-
01022201,10000,2,+
01022202,1492,4,-
01022203,6751,3,+
01022204,5677,2,+/-
01022205,3063,3,-
01022206,3016,2,+/-
01022207,5366,2,-
01033101,24632,4,+/-
01033102,11030,4,+/-
01033201,12778,4,+
01033202,9611,3,+/-
01033203,13179,4,+/-
01044101,19210,3,+/-
01044102,15069,2,+/-
01044103,7738,3,+/-
01044201,22224,4,+/-
01044202,15894,3,+
01044203,15364,4,+
02010101,6025,4,+/-
02010102,12831,4,+/-
02010103,15351,4,+/-
02010104,5031,4,+/-
02020201,278,0,0
02020202,5650,2,+
02020203,10169,2,+/-
02020204,11894,2,+/-
02020205,14827,2,+/-
02020206,18748,2,+/-
02030301,9295,4,+/-
02030302,13222,3,+/-
02030401,14933,2,+
02030402,11312,2,+/-
02040501,5324,2,+/-
02040502,6834,2,+
02040503,10271,2,+
02040701,12236,2,+/-
02040702,10433,2,+/-
02040703,591,2,+
02050601,8580,2,+/-
02050602,18718,2,+/-
02050801,18227,2,+/-
02050802,19152,2,+/-
02050803,6412,2,+
02050804,3127,1,+/-
03010101,2869,2,+/-
03010102,10095,2,+
03010104,193,0,0
03020203,1958,2,+/-
03020209,13583,2,+/-
03020210,10134,2,+/-
03020307,16875,2,+/-
03030405,10558,2,+/-
03030406,8050,1,+/-
03030711,6527,1,+/-
03030715,6516,2,+/-
03030716,1133,1,+
03040508,4420,2,+
03040512,9398,2,+/-
03040513,3295,2,+/-
03040614,32896,2,+/-
03040818,32163,2,+/-
03050919,4839,2,+/-
03050920,6500,2,+
03050923,8302,2,+/-
03050924,5416,2,+/-
03050925,8369,2,+/-
03051017,4129,2,+/-
03051021,6450,2,+/-
03051022,4575,2,+/-
03061126,14273,2,+
03061131,9689,2,+/-
03061227,14040,2,+/-
03061228,12001,2,+
03061332,21490,2,+/-
03061429,10088,2,+/-
03061430,2885,2,+/-
03061434,5939,2,+
03061435,3868,2,+/-
03061441,1842,1,+/-
03071536,10323,2,+/-
03071537,14314,2,+/-
03071633,2711,2,+
03071638,16365,2,+/-
03071639,11866,2,+/-
04010101,10054,3,+/-
04010102,753,2,+/-
04010103,7489,3,+/-
04020204,129,0,0
04020205,1242,1,+/-
04020206,2584,2,+/-
04020207,2678,1,+/-
04020208,2845,1,+/-
04020209,3142,1,+/-
04020310,585,2,-
04020311,13953,2,+/-
04020312,4877,2,+/-
04020313,6897,2,+/-
04020314,12,0,0
04030415,2669,2,+/-
04030416,10210,2,+/-
04030417,10426,2,+/-
04030518,9110,2,+
04030519,5406,2,+
04030620,8386,2,+
04030621,2949,2,+
04030622,10002,2,+/-
04030623,4314,2,+/-
04030724,6256,2,+
04030725,11565,2,+/-
04030726,5253,2,+/-
04030827,11452,2,+
04030828,9239,2,+/-
04030929,5983,2,+
04030930,5309,2,+/-
04030931,3418,2,+/-
04031032,14349,2,+/-
04041133,35,0,0
04041134,4744,2,-
04041135,2767,1,-
04041136,2912,1,+/-
04041137,7700,2,+/-
04041238,5492,2,-
04041239,168,0,0
04041240,1545,1,+/-
04041241,6715,1,+/-
04041342,4025,2,+/-
04041343,3510,2,+/-
04041344,10562,2,+/-
04051445,5772,2,+/-
04051446,10035,2,+/-
04051447,5112,2,+/-
04051448,8552,2,+/-
04051549,4074,2,+/-
04051550,5258,2,+/-
04051551,4189,2,+/-
04051652,9248,2,+/-
04051653,6413,2,+/-
04051654,2854,2,+/-
04051655,6664,2,+
04051656,7336,2,+/-
04061757,71,0,0
05010101,9747,2,+/-
05010102,5566,2,-
05010103,7464,2,+/-
05010204,3208,4,-
05010205,1941,1,+/-
05010206,9946,3,-
05010207,10930,4,-
05010208,7262,3,-
05010209,5949,2,+/-
05010310,3632,3,-
05010311,5369,4,+
05010312,6323,4,+/-
05010313,6349,3,-
05010314,11267,3,-
05010339,425,2,+/-
05020415,3983,1,-
05020416,1794,2,+/-
05020417,5568,2,+/-
05020418,4038,2,-
05020419,6767,3,-
05020420,933,2,+/-
05020521,2720,1,+/-
05020522,6332,4,+/-
05020523,11583,4,-
05020524,6069,2,+/-
05020625,7128,2,+/-
05020626,16874,2,+/-
05020627,3811,2,+/-
05020628,2026,2,-
05020629,4401,1,+/-
05030730,3439,2,+
05030731,10672,3,+/-
05030832,10987,2,-
05030833,867,1,+
05040934,3414,1,+/-
05040935,385,2,+/-
05040936,8430,1,+/-
05040937,2154,1,-
05040938,3552,1,-
06010101,6797,1,+/-
06010102,8515,2,+/-
06010103,6223,2,+/-
06010204,6755,2,+/-
06010205,9427,2,+/-
06010206,7582,2,+/-
06010207,7820,2,+/-
06010208,6365,2,+/-
06010209,8782,2,+/-
06010210,4791,2,+/-
06020301,4938,2,-
06020302,5351,2,+/-
06020303,7125,2,+/-
06020304,6817,2,+/-
06020305,10942,2,+/-
06020306,6428,2,+/-
06020407,4893,3,+/-
06020408,6588,2,-
06020409,8089,2,+/-
06020410,6824,1,+/-
06020411,8506,2,+/-
06030501,5523,1,+/-
06030502,5147,2,+
06030503,11197,2,-
06030504,10918,1,+/-
06030605,6847,2,+/-
06030606,4987,2,+/-
06030607,3224,1,+/-
06030608,11413,1,+/-
06030609,11559,2,+/-
06030610,8099,1,+/-
06040701,9514,1,+/-
06040702,5459,1,+/-
06040703,10692,1,+/-
06040804,7596,1,+/-
06040805,5208,1,+/-
06040806,7208,1,+/-
06040807,5844,1,-
06040808,4083,1,+/-
06040809,5000,1,+/-
06040810,6670,1,+/-
07010101,9213,2,+/-
07010102,15037,2,+/-
07010103,9743,2,+/-
07010104,13008,3,+/-
07020201,10293,2,+/-
07020202,9521,2,+/-
07020203,16855,2,+/-
07020204,11081,2,+/-
07030301,23359,2,+/-
07030302,8996,2,+/-
07030303,11905,2,+/-
07040401,16339,2,+/-
07040402,2094,2,-
07040403,22470,2,+/-
07040404,5019,2,+/-
07040405,10126,2,+/-
07040406,3361,4,+/-
