id,inhabitants,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
010111,12837,8.24443,2.85862,16.5615,44.84211,-0.79901,0.12559,-0.84664,-3.08942
010112,9226,4.95766,1.27791,7.02363,23.88818,-0.63845,-0.14951,0.39719,0.41218
010113,47620,6.07034,1.72291,8.33263,22.83887,-1.05283,-0.24286,0.22998,-3.69219
010114,26051,4.82198,1.13262,4.96718,8.02213,-0.50834,-0.12837,-0.43965,-2.53688
010221,42146,10.24586,3.3957,19.65786,49.63518,-2.17895,-0.24572,0.07268,-1.83191
010222,35365,9.76273,3.16493,18.88873,47.41628,-1.58903,-0.05792,-0.03998,-2.58372
010331,35662,14.77225,5.04923,30.37687,70.86356,-2.62906,0.0252,0.64378,-0.54214
010332,35568,13.75224,4.52028,30.52182,68.43615,-2.88773,-0.34903,-0.27513,-1.88859
010441,42017,12.00254,3.92944,19.69203,55.76136,-1.95787,-0.2254,0.77961,0.7187
010442,53482,13.42933,4.47562,27.79066,70.6045,-2.46898,-0.33438,-0.25822,-0.76403
020101,39238,15.65366,5.93309,35.41465,72.3526,-0.12629,0.43179,-1.48126,-4.19767
020202,61566,8.36671,2.74968,14.20427,31.66244,-0.75242,0.08672,-1.56557,-5.59696
020303,22517,12.40994,4.16739,26.1669,55.61905,-0.6129,0.16857,-1.39448,-5.28782
020304,26245,9.72958,3.13446,18.45685,43.10184,-1.03995,-0.12347,-1.41392,-5.50362
020405,22429,7.20113,2.20338,9.67943,27.20524,-1.6453,-0.35936,-0.71279,-6.12809
020407,23260,7.3134,2.16448,10.69218,31.45581,-0.81882,-0.10767,-0.62723,-4.51509
020506,27298,8.20643,2.47071,10.40736,23.58793,-0.92303,-0.02827,-0.85575,-2.9719
020508,46918,7.4662,2.15219,9.94927,22.98872,-0.91342,-0.13075,-1.04307,-4.86887
030101,13157,11.51114,4.38403,14.09896,42.71961,-1.61529,-0.84481,-0.00051,-2.88708
030202,25675,5.66233,1.68604,5.81889,10.33257,-1.0469,-0.91574,-0.11252,-1.71529
030203,16875,5.68072,1.86727,7.13481,16.44712,-0.64873,-0.50515,-0.49702,-3.19162
030304,18608,5.0225,1.61524,5.89531,14.75701,-0.35512,-0.11667,-0.62827,-2.62504
030307,14176,4.26714,1.52023,3.125,7.22816,-0.82149,-0.33587,-0.06236,-1.19355
030405,17113,4.99099,1.62162,4.97867,10.21648,-0.6405,-0.35578,-0.45798,-2.54527
030406,32896,7.11522,2.39219,8.01313,15.79457,-1.32916,-0.5246,-0.12277,-1.35249
030408,32163,7.66282,2.50767,9.00414,22.08896,-1.45214,-0.51828,-0.06848,-2.77576
030509,33426,9.06064,3.11012,9.71699,19.97792,-1.22018,-0.71571,-0.20134,-4.14821
030510,15154,8.91942,3.10642,10.09634,32.54856,-0.88163,-0.57945,0.19928,0.62277
030611,23962,7.1553,2.28088,7.06953,12.47869,-1.52844,-0.60296,-0.51937,-3.35215
030612,26041,7.93707,2.52011,8.4175,20.08243,-1.65038,-0.87644,-0.28247,-3.78027
030613,21490,6.82786,2.26828,7.25454,12.13018,-1.37365,-0.51331,-0.22733,-2.26401
030614,24622,9.84613,3.33059,9.87328,26.03889,-1.04528,-0.52542,-0.1225,-4.24978
030715,24637,5.68648,1.58811,5.60133,8.34823,-0.95427,-0.57932,-0.31447,-3.13264
030716,30942,6.40545,1.89949,6.9097,10.74231,-1.04281,-0.63769,-0.51833,-2.54938
040101,18296,12.65232,5.22859,21.64954,57.35493,-0.96509,-0.46497,1.23941,-1.64313
040202,12620,3.17375,1.02205,2.93978,5.88235,-0.16279,-0.17251,0.07871,0.11708
040203,26324,5.46318,2.05859,6.3972,14.64745,-0.55933,-0.23034,0.01896,-1.77285
040304,23305,7.90678,3.34106,14.06565,28.72493,-0.81736,-0.19592,-0.47469,-5.26775
040305,14516,8.70279,3.63072,14.64591,39.38085,-1.50592,-0.70396,-0.31528,-4.60439
040306,25651,8.13107,3.40357,14.02285,35.30796,-1.41169,-0.7262,-0.61664,-4.04662
040307,23074,6.25731,2.50415,8.32972,18.19659,-0.91493,-0.42456,-0.80534,-2.9775
040308,20691,6.87208,2.91045,11.17394,29.46473,-1.08208,-0.48018,-0.92069,-3.16113
040309,14710,5.37782,2.02159,7.1312,13.02521,-0.6179,-0.38254,-0.25305,-1.61427
040310,14349,6.53199,2.54307,8.51627,20.3876,-0.62204,-0.30394,0.0249,-1.02985
040411,18158,4.74402,1.95989,5.90924,11.68122,-0.55436,-0.07581,0.34683,1.58948
040412,13920,4.72881,1.6135,5.83333,11.42857,-0.32852,-0.06802,0.28406,-0.9236
040413,18097,5.2885,2.16268,8.04553,16.45768,-1.03661,-0.14454,0.03822,-1.74262
040514,29471,6.50627,2.77694,8.58132,19.35953,-0.83458,-0.20813,-0.00834,-1.23958
040515,13521,7.25831,2.89303,10.68708,25.42604,-1.17767,-0.39855,-0.09159,0.09359
040516,32515,6.1373,2.55344,8.42996,16.44812,-0.83531,-0.15813,-0.33188,-3.3897
040617,71,0,0,0,0,0,0,0,0
050101,22777,8.11239,2.76152,10.62475,29.14869,-0.4876,0.17944,-0.12355,-1.07337
050102,39236,12.33622,4.20883,20.04282,50.90073,-0.14982,0.36665,0.51804,1.1117
050103,33365,13.64941,4.83689,21.66342,57.03037,-0.44557,0.35569,0.30567,-0.46372
050204,23083,7.50932,2.53473,9.66512,26.28812,-0.00309,0.16884,0.36109,1.98398
050205,26704,13.28092,4.64436,24.6068,58.58861,0.09165,0.26656,0.9597,0.36492
050206,34240,10.44459,3.68766,14.95911,41.8543,-0.70732,0.1222,-0.12104,-2.66547
050307,14111,11.38925,3.8795,17.85841,45.4499,-1.48996,0.0225,-1.05321,-4.90761
