id,inhabitants,status_index,dynamic_index
01100101,3419,2,-
01100102,1791,1,+/-
01100103,5211,2,+/-
01100104,4636,2,+/-
01100205,2573,2,+/-
01100206,1803,2,-
01100207,8312,2,+/-
01100308,6967,1,+/-
01100309,12352,2,+/-
01100310,9903,2,+/-
01100311,9013,2,-
01100312,9422,2,+/-
01100313,10779,2,+/-
01100414,5178,2,+/-
01100415,12593,2,+/-
01100416,13443,1,+/-
01200517,3725,4,+
01200518,6866,3,+/-
01200519,9103,2,+/-
01200520,9433,2,+/-
01200521,5235,3,+/-
01200522,11333,2,+/-
01200623,10825,2,+/-
01200624,5178,2,+
01200625,6976,4,+/-
01200626,5935,2,+/-
01200627,3280,4,-
01200628,3132,2,+/-
01200629,5807,2,+/-
01300730,7957,4,+/-
01300731,8545,4,+/-
01300732,9879,4,+/-
01300733,11665,4,+/-
01300834,14193,4,+/-
01300835,10443,3,+/-
01300836,14657,4,+/-
01400937,10804,3,+/-
01400938,9725,3,+/-
01400939,5926,3,+/-
01400940,6794,2,+/-
01400941,3786,2,+/-
01400942,8643,3,+
01401043,7739,4,+/-
01401044,10224,4,+/-
01401045,5722,4,-
01401046,8781,2,+
01401047,7867,3,+
01401048,9098,4,+/-
01401049,6689,4,+/-
02100101,6281,3,-
02100102,8647,4,+/-
02100103,5382,4,-
02100104,5567,4,-
02100105,9604,4,+/-
02100106,5009,4,-
02200207,2067,1,+/-
02200208,6008,2,+/-
02200209,10969,2,+/-
02200210,12384,2,+/-
02200211,14760,2,+/-
02200212,8602,2,+/-
02200213,10284,2,+/-
02300314,7587,4,-
02300315,8723,3,+/-
02300316,4215,2,+/-
02300417,8433,2,+/-
02300418,7710,2,+/-
02300419,10903,2,+/-
02400520,5451,2,+/-
02400521,7858,2,+/-
02400522,11262,2,+/-
02400623,13307,2,+/-
02400624,11314,2,+/-
02400625,1136,3,+/-
02500726,9134,2,+/-
02500727,6623,2,+/-
02500728,10109,2,+/-
02500729,5441,2,+/-
02500830,3931,2,+/-
02500831,7877,2,+/-
02500832,9064,2,+/-
02500833,10190,2,+/-
02500834,11378,2,+/-
02500835,7868,2,+/-
02500836,4709,1,+/-
03100101,4499,2,+/-
03100102,3214,2,-
03100103,8979,2,+/-
03200204,2058,1,+/-
03200205,8696,1,+/-
03200206,6404,2,+/-
03200207,11464,2,+/-
03200308,5220,1,+/-
03200309,5238,2,+/-
03200310,7961,2,+/-
03300411,11455,2,-
03300412,5138,1,+/-
03300413,3101,1,+/-
03300514,6875,1,+/-
03300515,38,,
03300516,7779,2,-
03300517,1120,1,+/-
03400618,4742,1,+/-
03400619,10438,2,+/-
03400620,3509,1,+/-
03400721,11438,2,+/-
03400722,3607,1,+/-
03400723,7112,2,+/-
03400724,7633,2,+/-
03400725,7450,2,+/-
03400826,6620,2,+/-
03400827,9628,2,+/-
03400828,4615,2,+
03400829,5583,2,+/-
03400830,9292,2,+/-
03400831,0,,
03500932,5096,2,+
03500933,7551,2,+/-
03500934,10049,2,+/-
03500935,6407,2,+
03500936,9819,2,+/-
03501037,8509,2,+/-
03501038,7324,2,+/-
03601139,3795,2,+/-
03601140,5884,2,+/-
03601141,6576,2,+/-
03601142,10744,2,+/-
03601243,7032,2,+/-
03601244,7600,2,+/-
03601245,12813,2,+/-
03601346,5470,2,+/-
03601347,9548,2,+/-
03601348,7516,2,+/-
03601449,9970,2,+/-
03601450,3965,4,-
03601451,6373,2,+/-
03601452,4063,2,+/-
03601453,2825,1,+/-
03701554,11328,2,+/-
03701555,7274,2,+/-
03701556,8656,1,+/-
03701657,3188,2,-
03701658,8448,2,+/-
03701659,9164,2,+/-
03701660,12823,2,+/-
04100101,11548,2,+
04100102,7855,4,+/-
04200203,1482,1,+/-
04200204,2832,2,+/-
04200205,2569,1,+/-
04200206,2963,1,+/-
04200207,3192,1,+/-
04200308,6379,2,-
04200309,6936,2,+/-
04200310,7809,2,-
04200311,7218,2,+/-
04300412,3329,2,+
04300413,10334,2,+/-
04300414,10786,2,+
04300415,6488,2,+/-
04300416,12145,2,+/-
04300517,9637,2,+/-
04300518,5930,2,+/-
04300619,8859,2,+/-
04300620,3429,2,+
04300621,10811,2,+/-
04300622,5157,2,+/-
04300623,12121,2,+/-
04300624,9538,2,+/-
04400725,110,,
04400726,5470,2,-
04400727,8264,2,+/-
04400728,3173,1,+/-
04400729,2796,1,+/-
04400830,7119,2,+/-
04400831,1513,1,+/-
04400832,7023,2,+/-
04400833,4178,2,-
04400834,3574,2,+/-
04400835,10593,2,+/-
04500936,5638,2,+/-
04500937,7683,2,+/-
04500938,7919,2,+/-
04500939,6496,2,+
04501040,5998,2,+/-
04501041,5597,2,+/-
04501042,3581,2,-
04501043,11048,2,+/-
04501044,5283,2,+/-
04501045,9334,2,+/-
04501146,4715,2,+/-
04501147,5625,2,+/-
