id,inhabitants,k08_urban_apartments,k14_living_space,k15_living_ares
070404,64537,12.68566,1.74021,36.57438
070505,52740,10.09309,1.77926,36.90791
070606,32264,26.73014,1.73308,36.2664
070707,52110,15.31042,1.89894,42.09307
080101,32480,8.18292,1.5278,33.1202
080102,37931,16.58944,1.4528,32.49126
080103,39139,3.87626,1.64675,35.96249
080104,39699,5.26055,1.56908,33.43036
080105,15387,24.77808,1.39111,26.74738
080206,43574,13.09418,1.66907,34.3335
080207,28596,18.32743,1.84987,38.53109
080308,37591,27.15107,1.62012,34.66141
080409,9598,14.57906,1.93634,40.25214
080410,43950,8.62488,1.92608,41.53356
090101,13167,16.75105,1.57849,35.72355
090102,11299,27.15405,1.91645,36.82043
090103,18894,9.66727,1.88594,37.22462
090104,19960,23.30547,1.85997,38.68136
090205,23638,26.94754,1.70636,35.17582
090206,13004,22.49895,1.71624,35.62635
090207,20210,19.04423,1.74468,36.72553
090208,11353,36.69361,1.90011,36.48877
090309,28287,37.35747,1.75452,37.9603
090310,13167,12.26016,1.99795,41.51865
090311,7217,5.69084,1.92365,41.43384
090312,4442,0,2.20081,51.14971
090413,16417,20.51366,2.15447,41.8013
090414,6371,35.05866,1.84492,40.61215
090415,7980,50.86554,1.78972,35.69486
090416,6867,0,2.07136,46.67191
090517,19009,26.93897,2.02767,40.40202
090518,9856,6.73666,2.07539,47.59821
090519,11733,8.29707,1.90838,41.85656
090520,13294,10.45509,2.24221,42.66714
100101,24322,61.29259,1.85861,32.34335
100102,48144,31.26654,1.97499,34.3248
100103,39042,24.60559,2.03166,37.07994
100204,37487,33.63781,1.57836,31.56484
100205,21403,37.75886,1.82666,33.41877
100206,25213,45.37397,1.76334,33.56086
100307,28955,14.688,1.98328,41.68268
100408,19408,0.72375,2.05585,45.76401
100409,29757,0.769,2.10001,46.71237
110101,5491,19.19964,1.80987,40.36441
110102,29742,63.60694,1.89305,31.95458
110103,27098,46.87646,1.90442,34.08248
110204,16854,40.76699,1.82888,36.35902
110205,33216,33.82361,1.80925,35.9089
110306,33751,29.01575,1.92459,33.94797
110307,31403,32.23025,1.67608,34.0385
110308,9956,49.83492,1.86561,33.25773
110409,34067,24.23562,1.84322,36.59618
110410,15775,20.8563,1.77173,34.44634
110411,27002,45.09409,1.90882,35.12084
110512,4244,23.24324,1.66258,39.29972
110513,28238,25.03929,1.8615,39.6271
121031,28673,5.29999,1.58961,31.88031
121032,27587,0.78415,1.72458,33.51104
122141,15874,39.11996,1.83527,36.37174
122144,27712,13.30478,1.68591,32.632
122145,11225,0.08085,1.81666,41.44125
122242,24110,1.68383,2.16744,48.5786
122311,33415,1.4636,2.31638,52.51848
123012,31761,3.41369,1.91943,40.55839
123021,40119,85.18856,1.5804,31.35664
123022,9232,68.39535,1.74437,35.39905
123043,16415,15.30508,2.07907,40.55626
