id,inhabitants,k08_urban_apartments,k14_living_space,k15_living_ares
010111,15057,6.0023,1.82015,42.94953
010112,12688,26.30504,2.11137,48.33299
010113,58436,24.03239,1.86931,39.87752
010114,31214,3.31501,1.76434,40.93484
010221,45695,2.9387,1.66493,36.41668
010222,41133,6.00892,1.68247,38.68699
010331,38046,13.38681,1.45006,29.84666
010332,39293,25.78707,1.47047,30.45512
010441,45678,21.84306,1.66735,33.75776
010442,56120,9.49904,1.46146,31.04836
020101,40490,28.66769,1.50768,31.07767
020202,65074,4.90087,1.75709,39.99522
020303,21713,17.26056,1.59517,34.58435
020304,25858,3.36679,1.66981,38.35119
020405,24571,43.36283,1.83086,36.78263
020407,25757,31.97312,1.66704,36.15421
020506,31307,8.10442,1.70115,38.07768
020508,55017,8.52462,1.70384,38.45902
030101,16692,44.80444,1.84891,34.35005
030202,28622,4.8474,1.81703,41.12567
030203,18419,1.08603,1.77225,40.07253
030304,19694,5.08048,1.99487,40.2613
030307,15812,4.81366,2.04572,44.62832
030405,18689,2.49608,1.94692,41.89379
030406,37240,26.73089,1.82548,39.05371
030408,35738,21.7082,1.93735,38.00414
030509,38922,19.96692,1.8274,37.79785
030510,15833,23.82384,1.93943,36.35009
030611,26999,6.57244,1.74732,39.75603
030612,27445,20.86508,1.86551,38.33664
030613,22534,5.94626,1.78819,42.47537
030614,27196,27.36466,1.85946,35.2418
030715,27258,8.90545,1.83979,43.41547
030716,33623,15.92435,1.77572,40.78997
040101,19403,47.13119,1.73906,32.04592
040202,12986,1.8462,2.14177,49.78123
040203,28342,4.30478,1.99749,44.85513
040304,24449,17.93295,1.75451,39.10863
040305,15567,4.85724,1.86169,38.68035
040306,28256,10.9055,1.78808,39.74862
040307,24271,1.86259,1.87318,44.343
040308,21693,2.49372,1.80238,41.72553
040309,15142,1.29736,2.19172,55.89017
040310,15602,3.0273,1.9809,46.52807
040411,19803,4.33711,2.18063,55.01368
040412,15655,6.74839,1.98116,45.67327
040413,18345,15.75862,1.88896,42.10957
040514,32161,3.55247,1.92671,44.31041
040515,14776,3.67373,1.77964,38.42901
040516,34879,4.39073,1.85401,42.26403
040617,62,,,
050101,26780,0.74306,1.79571,37.37999
050102,41960,21.36256,1.76995,34.99588
050103,37166,11.58343,1.59506,32.79766
050204,24069,14.79406,1.88192,38.68619
050205,29464,40.40112,1.71104,35.10949
050206,37018,9.3073,1.90035,39.42093
050307,16493,55.7187,1.61244,30.69411
050308,12740,0,1.62857,34.17873
050409,19837,1.77717,2.18284,50.37128
060101,22077,0.44866,1.94053,42.81931
060102,53501,1.75644,1.86735,39.88739
060203,43558,10.97493,1.8597,38.83695
060204,35729,7.87826,1.96098,42.1063
060305,34032,2.92655,2.07026,44.50732
060306,50156,2.1466,1.90003,43.09504
060407,26858,4.64418,2.06572,49.8676
060408,42929,0.52752,2.20692,53.05919
070101,50143,18.83478,1.79112,40.30319
070202,51606,7.81013,1.81452,41.27768
070303,46139,1.95676,1.94129,42.62591
