id,inhabitants,k08_urban_apartments,k14_living_space,k15_living_ares
01,383360,13.98623,1.65618,35.84092
02,289787,15.5931,1.68442,37.0845
03,410716,16.01855,1.85451,39.505
04,341392,8.25654,1.90735,43.41885
05,245527,16.65188,1.78529,36.87659
06,308840,3.97727,1.97445,43.93434
07,349539,12.59489,1.81392,39.44713
08,327945,12.8749,1.65467,35.27116
09,276165,21.45923,1.88693,39.1271
10,273731,28.7665,1.90752,36.95853
11,296837,36.17131,1.84221,35.27583
12,266123,19.80376,1.855,38.51699
