id,inhabitants,status_index,dynamic_index
01011101,3114,2,+/-
01011102,192,0,0
01011103,5518,2,+/-
01011104,4704,2,+/-
01011105,1135,1,+/-
01011201,2190,2,+/-
01011202,608,1,+/-
01011203,1004,2,-
01011204,7463,2,+/-
01011301,6431,1,+/-
01011302,12535,2,+/-
01011303,9536,2,+/-
01011304,8607,2,+/-
01011305,7617,2,+/-
01011306,9530,2,+/-
01011401,16331,1,+/-
01011402,13341,1,+/-
01022101,3522,4,-
01022102,6374,4,+/-
01022103,258,0,0
01022104,18377,2,+/-
01022105,5299,3,+/-
01022106,11799,2,+/-
01022201,11292,2,+/-
01022202,1488,4,+/-
01022203,6969,3,+/-
01022204,5824,2,+/-
01022205,3311,2,+/-
01022206,3027,2,+
01022207,5630,2,+
01033101,26841,4,+/-
01033102,11837,3,+/-
01033201,13361,4,+
01033202,9726,3,+/-
01033203,14478,4,+/-
01044101,20722,3,+/-
01044102,16238,2,+/-
01044103,8589,3,+/-
01044201,23424,4,+/-
01044202,16703,3,+/-
01044203,16462,4,+/-
02010101,6481,3,+
02010102,13278,4,+
02010103,15593,4,+
02010104,5044,4,+/-
02020201,911,1,+
02020202,5990,2,+/-
02020203,10886,2,+/-
02020204,12326,2,+/-
02020205,14892,2,+/-
02020206,19052,2,+/-
02030301,9092,4,+/-
02030302,13166,2,+
02030401,15156,2,+/-
02030402,11083,2,+/-
02040501,5381,2,+/-
02040502,7181,2,+/-
02040503,10976,2,+/-
02040701,12331,2,+/-
02040702,10714,2,+/-
02040703,1145,2,+/-
02050601,8900,2,+/-
02050602,21064,2,+/-
02050801,19093,2,+/-
02050802,20431,2,+/-
02050803,6986,2,+/-
02050804,4171,1,+/-
03010101,3928,2,+/-
03010102,11685,2,+/-
03010104,227,0,0
03020203,2116,2,+/-
03020209,14726,2,+/-
03020210,11132,2,+/-
03020307,17930,2,+/-
03030405,10986,2,+/-
03030406,8245,1,+/-
03030711,6810,1,+/-
03030715,7388,2,-
03030716,1138,2,-
03040508,4530,1,+/-
03040512,9783,2,+/-
03040513,3412,1,+/-
03040614,35308,2,+/-
03040818,34314,2,+/-
03050919,5564,2,-
03050920,7397,2,+/-
03050923,9098,2,+
03050924,5883,2,+/-
03050925,9468,2,+/-
03051017,4247,2,+/-
03051021,6503,2,+/-
03051022,4527,2,+/-
