id,planning_area_name,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
10200628,Neue Grottkauer Straße,6342,0.8918,,1.55295,1.1353,3.58005,1.21133,niedrig,-0.36244
10200629,Teterower Ring,8919,-0.18777,,-0.23585,0.00846,-0.41516,-0.14047,mittel,0.29451
10200630,Cecilienplatz,6487,-0.33102,,-0.06158,0.077,-0.3156,-0.10679,mittel,-0.75139
10300731,Oberfeldstraße,7805,-1.53737,,-1.36614,-1.34639,-4.2499,-1.43798,hoch,-1.25659
10300732,Buckower Ring,6952,0.2566,,0.0386,-0.20641,0.08879,0.03004,mittel,0.87131
10300733,Alt-Biesdorf,3938,-1.27367,,-1.06257,-1.07321,-3.40945,-1.15361,hoch,-1.52026
10300734,Biesdorf Süd,10260,-1.49091,,-1.31492,-1.31069,-4.11652,-1.39285,hoch,-1.05044
10400835,Kaulsdorf Nord,7807,-1.19968,,-0.98949,-0.92969,-3.11886,-1.05528,hoch,-1.38143
10400836,Alt-Kaulsdorf,3868,-0.91273,,-0.99172,-1.12643,-3.03088,-1.02552,hoch,-0.68241
10400837,Kaulsdorf Süd,7733,-1.44866,,-1.33158,-1.31077,-4.09101,-1.38422,hoch,-0.83902
10400938,Mahlsdorf Nord,9921,-1.47227,,-1.2957,-1.36606,-4.13403,-1.39877,hoch,-1.26333
10400939,Alt-Mahlsdorf,4457,-1.2697,,-1.11859,-1.18357,-3.57186,-1.20856,hoch,-1.18682
10400940,Elsensee,5801,-1.50259,,-1.29263,-1.18874,-3.98396,-1.348,hoch,-1.19788
10400941,Pilgramer Straße,9578,-1.47513,,-1.3001,-1.30026,-4.07549,-1.37897,hoch,-1.14802
11100101,Dörfer Malchow-Wartenberg,3302,-1.45369,,-1.16687,-1.2549,-3.87546,-1.31128,hoch,-1.60669
11100102,Dorf Falkenberg,2189,-0.40944,,0.4457,0.38003,0.41629,0.14085,mittel,1.09399
11100203,Falkenberg Ost,8986,1.26186,,1.39548,1.20603,3.86337,1.30719,niedrig,0.53318
