id,inhabitants,status_index,dynamic_index
01011101,3114,2,+/-
01011102,194,0,0
01011103,5130,2,+/-
01011104,4403,2,+
01011105,1097,1,+/-
01011201,2055,2,+/-
01011202,498,1,+/-
01011203,932,1,+/-
01011204,6424,2,-
01011301,5597,1,+/-
01011302,12137,2,+/-
01011303,8608,2,+/-
01011304,8424,2,+/-
01011305,7075,2,+
01011306,8616,2,+/-
01011401,15235,1,+/-
01011402,12666,1,+/-
01022101,3390,3,+/-
01022102,6255,3,+
01022103,253,0,0
01022104,17806,2,+/-
01022105,5105,3,+/-
01022106,11731,2,+/-
01022201,10469,2,+
01022202,1448,3,+
01022203,6773,3,+
01022204,5826,2,+/-
01022205,3207,2,+
01022206,3060,2,+
01022207,5477,2,+/-
01033101,25947,4,+/-
01033102,11586,3,+
01033201,12885,4,+/-
01033202,9697,3,+
01033203,13891,4,+
01044101,19903,3,+/-
01044102,15792,2,+/-
01044103,8076,2,+
01044201,23103,4,+/-
01044202,16636,3,+/-
01044203,15985,4,+/-
02010101,6106,4,+
02010102,13047,4,+/-
02010103,15589,4,+/-
02010104,5145,4,+
02020201,284,0,0
02020202,5726,2,+/-
02020203,10668,2,+/-
02020204,12195,2,+/-
02020205,14837,2,+/-
02020206,18928,2,+/-
02030301,9216,4,+/-
02030302,13282,3,+/-
02030401,15222,2,+/-
02030402,11273,2,+/-
02040501,5410,2,+/-
02040502,7118,2,+/-
02040503,10680,2,+/-
02040701,12266,2,+/-
02040702,10677,2,+/-
02040703,855,2,-
02050601,8752,2,+/-
02050602,19631,2,+/-
02050801,18811,2,+/-
02050802,19841,2,+/-
02050803,6632,2,+/-
02050804,3500,1,+/-
03010101,3297,2,+
03010102,11207,2,+/-
03010104,213,0,0
03020203,2069,2,+/-
03020209,14031,2,+/-
03020210,10429,2,+/-
03020307,17218,2,+/-
03030405,10576,2,+/-
03030406,8157,1,+/-
03030711,6745,1,+/-
03030715,6583,2,+/-
03030716,1128,1,-
03040508,4587,2,+/-
03040512,9520,2,+/-
03040513,3357,1,+/-
03040614,34233,2,+/-
03040818,33714,2,+/-
03050919,5320,2,+
03050920,7024,2,+/-
03050923,8772,2,+/-
03050924,5647,2,+/-
03050925,8679,2,+/-
03051017,4123,2,+/-
03051021,6484,2,+/-
03051022,4518,2,+/-
03061126,14997,2,+/-
03061131,10185,2,+/-
03061227,14413,2,+/-
03061228,12386,2,+
03061332,22245,2,+/-
03061429,10163,2,+/-
