id,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
01011101,3114,-0.48935,-0.87003,-0.45628,-0.35272,-2.16838,-0.56124,mittel,0.0743
01011102,194,0,0,0,0,0,0,0,0
01011103,5130,0.12323,-0.26521,0.7099,0.65491,1.22283,0.3165,mittel,-0.79697
01011104,4403,0.03991,-0.15254,1.14041,1.05901,2.0867899999999997,0.54012,mittel,-1.52009
01011105,1097,-1.40995,-1.41124,-1.17376,-1.19776,-5.19271,-1.34402,hoch,1.04258
01011201,2055,-0.70107,-0.78546,-0.45033,-0.01353,-1.9503900000000003,-0.50481,mittel,-0.65789
01011202,498,-1.43329,-2.02896,-1.26618,-1.40914,-6.13757,-1.58857,hoch,-0.61959
01011203,932,-1.28379,-1.03227,-1.0213,-0.98638,-4.323740000000001,-1.1191,hoch,0.07803
01011204,6424,-0.63553,-0.91408,-0.6254,-0.16013,-2.33514,-0.6044,mittel,1.26647
01011301,5597,-1.2966,-1.42618,-1.02371,-1.17296,-4.91945,-1.27329,hoch,0.7761
01011302,12137,-0.78356,-1.14862,-0.66436,-0.80962,-3.40616,-0.88161,mittel,0.1507
01011303,8608,-0.31289,-0.56719,-0.35525,-0.30985,-1.54518,-0.39993,mittel,0.0438
01011304,8424,0.06114,0.12084,0.0774,0.573,0.8323799999999999,0.21544,mittel,0.71858
01011305,7075,-0.76648,-0.96818,-0.53237,-0.15115,-2.41818,-0.62589,mittel,-0.74219
01011306,8616,-0.2629,-0.68405,-0.3991,-0.0378,-1.38385,-0.35818,mittel,0.06892
01011401,15235,-0.91653,-1.26536,-0.80668,-0.98971,-3.9782800000000003,-1.02969,hoch,0.054
01011402,12666,-0.88337,-1.34748,-0.9514,-1.15629,-4.33854,-1.12293,hoch,0.50031
01022101,3390,1.16171,1.28574,1.28819,1.78518,5.5208200000000005,1.42894,niedrig,-0.65672
01022102,6255,1.28277,1.06786,1.46627,1.5686,5.3854999999999995,1.39391,niedrig,-1.17846
01022103,253,0,0,0,0,0,0,0,0
01022104,17806,0.76957,0.68504,0.78918,1.00875,3.2525399999999998,0.84185,mittel,0.55045
01022105,5105,0.76931,0.28258,1.46418,1.8554,4.37147,1.13146,niedrig,-0.81577
01022106,11731,-0.22634,-0.62388,-0.13688,-0.41635,-1.4034499999999999,-0.36325,mittel,0.20013
01022201,10469,0.34902,-0.18512,0.63569,0.70372,1.50331,0.3891,mittel,-1.02551
01022202,1448,1.80234,0.73324,1.87917,1.12144,5.5361899999999995,1.43292,niedrig,1.30758
01022203,6773,0.99753,0.49165,1.5398,1.33134,4.36032,1.12857,niedrig,-1.18278
01022204,5826,-0.19001,-0.5483,-0.10351,-0.34859,-1.19041,-0.30811,mittel,-0.48926
01022205,3207,0.65338,-0.01643,1.49587,0.83203,2.9648499999999998,0.76738,mittel,-0.42756
01022206,3060,-0.23711,-0.81206,0.11499,-0.1227,-1.0568799999999998,-0.27355,mittel,-1.02123
01022207,5477,-0.50549,-0.75031,-0.30719,-0.13944,-1.70243,-0.44064,mittel,-0.10931
01033101,25947,1.75394,1.46819,2.26457,2.01238,7.499079999999999,1.94097,sehr niedrig,-1.48574
01033102,11586,1.14653,0.40487,1.88757,1.77575,5.21472,1.34971,niedrig,-1.367
01033201,12885,1.41694,0.98269,2.38608,1.7204,6.50611,1.68396,sehr niedrig,-0.86865
01033202,9697,1.03459,0.44433,1.32315,1.31907,4.1211400000000005,1.06666,niedrig,-0.60915
01033203,13891,1.5873,0.97625,2.26524,2.02661,6.8553999999999995,1.77436,sehr niedrig,-1.47658
01044101,19903,1.02749,0.99835,0.99992,1.26266,4.28842,1.10996,niedrig,-0.3788
01044102,15792,0.90073,0.59004,0.72184,1.19951,3.41212,0.88315,mittel,-1.09509
01044103,8076,0.8657,0.60904,0.79164,1.17507,3.4414500000000006,0.89074,mittel,-0.93633
01044201,23103,1.87677,1.26506,2.34059,2.17182,7.65424,1.98113,sehr niedrig,-0.72461
01044202,16636,0.84596,0.78548,0.97752,1.46812,4.07708,1.05526,niedrig,-0.04532
01044203,15985,1.48667,0.97599,1.81185,1.88073,6.15524,1.59314,sehr niedrig,-0.83484
02010101,6106,1.41806,1.36324,1.69704,1.54982,6.02816,1.56025,sehr niedrig,0.00081
02010102,13047,2.09819,2.41583,2.47968,1.79143,8.78513,2.27383,sehr niedrig,0.50637
02010103,15589,2.7865,3.09951,2.83917,2.17354,10.89872,2.82089,sehr niedrig,-0.46885
02010104,5145,1.79846,1.92283,2.71399,2.09368,8.52896,2.20753,sehr niedrig,-1.47764
02020201,284,0,0,0,0,0,0,0,0
02020202,5726,0.09926,0.17097,0.13896,-0.20286,0.20633000000000004,0.0534,mittel,0.19003
02020203,10668,-0.1734,-0.4803,-0.07866,-0.21607,-0.9484299999999999,-0.24548,mittel,-0.25158
02020204,12195,-0.14162,-0.2785,0.03163,-0.13615,-0.52464,-0.13579,mittel,-0.42042
02020205,14837,-0.07291,-0.3005,0.00994,-0.21991,-0.58338,-0.15099,mittel,0.10072
02020206,18928,0.30807,0.15633,0.57128,0.39563,1.43131,0.37046,mittel,-0.31187
02030301,9216,1.40028,1.46065,1.95403,1.45685,6.271809999999999,1.62332,sehr niedrig,-0.46391
02030302,13282,1.06933,0.92431,1.29155,0.89122,4.17641,1.08097,niedrig,-0.18151
02030401,15222,0.53858,0.33083,0.71504,0.56824,2.1526899999999998,0.55717,mittel,0.07801
02030402,11273,0.47535,0.38153,0.61915,0.48393,1.95996,0.50729,mittel,0.03899
02040501,5410,0.66512,0.59655,0.15875,0.70326,2.1236800000000002,0.54967,mittel,0.88217
02040502,7118,-0.01856,-0.24852,-0.21979,0.11982,-0.36705000000000004,-0.095,mittel,0.37997
02040503,10680,-0.52896,-0.79536,-0.57193,-0.66039,-2.55664,-0.66173,mittel,0.21943
02040701,12266,-0.08286,-0.29206,0.17482,0.78855,0.58845,0.15231,mittel,-0.00548
02040702,10677,-0.37056,-0.77224,-0.53818,-0.68905,-2.37003,-0.61343,mittel,0.12654
